,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
36,2021-01-22 00:00:00,41.89955,3.71096,6.0,9.5,4.49,0.9,0.99,1.81,0.99
36,2021-01-22 00:05:00,43.51027,7.02,7.73,9.5,4.49,0.9,0.99,1.95,0.99
36,2021-01-22 00:10:00,50.70954,7.02,6.0,9.5,8.49,0.9,0.99,1.99,1.03
36,2021-01-22 00:15:00,44.21485,4.99857,6.0,9.5,4.49,0.9,0.99,1.99,1.03
36,2021-01-22 00:20:00,43.19444,4.99857,6.0,9.5,4.49,0.9,0.81,1.8,0.44
36,2021-01-22 00:25:00,41.13352,5.47,6.0,9.5,4.49,0.9,0.81,1.8,0.79
36,2021-01-22 00:30:00,43.788,4.95137,6.0,9.5,8.49,0.9,0.99,1.99,1.0
36,2021-01-22 00:35:00,43.19647,5.75,6.0,9.5,4.49,0.9,1.1,1.99,0.99
36,2021-01-22 00:40:00,42.82605,5.75,6.0,9.5,4.49,0.9,1.1,1.99,0.99
36,2021-01-22 00:45:00,43.40567,11.7,6.0,9.5,8.49,0.9,1.23,3.67,1.03
36,2021-01-22 00:50:00,43.40465,11.7,6.0,9.5,4.49,0.9,1.1,1.99,0.99
36,2021-01-22 00:55:00,43.79112,11.02,6.0,9.5,4.49,0.9,1.23,3.68,1.03
36,2021-01-22 01:00:00,43.69521,11.7,4.99,9.5,4.49,0.9,1.1,1.99,0.99
36,2021-01-22 01:05:00,50.1237,4.76043,4.99,9.5,8.49,0.9,1.1,2.95,0.99
36,2021-01-22 01:10:00,44.59576,8.0,4.99,9.5,8.49,0.9,1.1,2.0,0.99
36,2021-01-22 01:15:00,40.2,13.5,6.0,9.5,4.49,0.9,1.1,2.0,0.99
36,2021-01-22 01:20:00,40.22,11.7,4.99,9.5,8.49,0.9,1.23,3.68,1.03
36,2021-01-22 01:25:00,40.22,11.02,4.99,9.5,8.49,0.9,1.0,2.0,0.99
36,2021-01-22 01:30:00,40.22,11.02,6.0,9.5,8.49,0.9,1.0,2.04637,0.99
36,2021-01-22 01:35:00,41.76288,7.02,6.0,9.5,8.49,0.9,1.0,2.0,1.0
36,2021-01-22 01:40:00,40.22,7.02,6.0,9.5,8.49,0.9,1.1,3.67,1.03
36,2021-01-22 01:45:00,40.22,5.47,6.0,9.5,4.49,0.9,1.1,3.67,1.03
36,2021-01-22 01:50:00,40.22,3.4,6.0,9.5,8.49,0.9,1.23,3.68,1.03
36,2021-01-22 01:55:00,40.22,3.4,6.0,9.5,4.49,0.9,1.1,3.41243,1.0
36,2021-01-22 02:00:00,39.86203,5.47,6.0,9.5,4.49,0.9,1.0,3.68,0.99
36,2021-01-22 02:05:00,40.2,11.02,6.0,9.5,8.49,0.9,1.0,3.28073,0.99
36,2021-01-22 02:10:00,36.08076,11.7,6.0,9.5,4.49,0.9,1.0,3.68,0.99
36,2021-01-22 02:15:00,40.2,11.666,4.99,9.5,8.49,0.9,1.23,3.68,1.03
36,2021-01-22 02:20:00,39.64344,11.02,6.0,9.5,4.49,0.9,1.1,3.68,0.99
