,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
48,2021-01-22 00:00:00,41.01123,3.69096,6.0,2.95,1.73,0.88,0.99,1.81,0.99
48,2021-01-22 00:05:00,42.58781,7.0,7.73,3.0,1.73,0.88,0.99,1.95,0.99
48,2021-01-22 00:10:00,49.63445,7.0,6.0,2.95,1.73,0.88,0.99,1.99,1.03
48,2021-01-22 00:15:00,43.38784,4.97857,6.0,2.62,1.73,0.88,0.99,1.99,1.03
48,2021-01-22 00:20:00,42.38652,4.97857,6.0,2.62,1.73,0.88,0.81,1.8,0.44
48,2021-01-22 00:25:00,40.46738,5.45,6.0,2.78,1.73,0.88,0.81,1.8,0.79
48,2021-01-22 00:30:00,43.07887,4.93137,6.0,3.0,1.73,0.88,0.99,1.99,1.0
48,2021-01-22 00:35:00,42.49692,5.73,6.0,2.0,1.73,0.88,1.1,1.99,0.99
48,2021-01-22 00:40:00,41.9181,5.73,6.0,2.0,1.7,0.88,1.1,1.99,0.99
48,2021-01-22 00:45:00,42.48542,11.68,6.0,1.95,1.6,0.88,1.23,3.67,1.03
48,2021-01-22 00:50:00,42.48443,11.68,6.0,1.95,1.6,0.88,1.1,1.99,0.99
48,2021-01-22 00:55:00,42.86271,11.0,6.0,1.95,1.6,0.88,1.23,3.68,1.03
48,2021-01-22 01:00:00,42.76882,11.68,4.99,1.98,1.6,0.88,1.1,1.99,0.99
48,2021-01-22 01:05:00,48.93651,4.74043,4.99,2.62,1.6,0.88,1.1,2.95,0.99
48,2021-01-22 01:10:00,43.65028,7.98,4.99,2.62,1.6,0.88,1.1,2.0,0.99
48,2021-01-22 01:15:00,38.83797,13.48,6.0,2.0,1.6,0.88,1.1,2.0,0.99
48,2021-01-22 01:20:00,39.56865,11.68,4.99,2.0,1.6,0.88,1.23,3.68,1.03
48,2021-01-22 01:25:00,39.06908,11.0,4.99,2.0,1.6,0.88,1.0,2.0,0.99
48,2021-01-22 01:30:00,39.6701,11.0,6.0,2.0,1.6,0.88,1.0,2.04637,0.99
48,2021-01-22 01:35:00,41.08654,7.0,6.0,2.0,1.7,0.88,1.0,2.0,1.0
48,2021-01-22 01:40:00,39.46772,7.0,6.0,2.0,1.7,0.88,1.1,3.67,1.03
48,2021-01-22 01:45:00,39.26738,5.45,6.0,2.0,1.7,0.88,1.1,3.67,1.03
48,2021-01-22 01:50:00,39.3673,3.38,6.0,2.0,1.7,0.88,1.23,3.68,1.03
48,2021-01-22 01:55:00,38.97067,3.38,6.0,1.96945,1.6,0.88,1.1,3.41243,1.0
48,2021-01-22 02:00:00,38.62382,5.45,6.0,1.95,1.6,0.88,1.0,3.68,0.99
48,2021-01-22 02:05:00,39.04965,11.0,6.0,1.95,1.49,0.88,1.0,3.28073,0.99
48,2021-01-22 02:10:00,34.96,11.68,6.0,1.8101,1.49,0.88,1.0,3.68,0.99
48,2021-01-22 02:15:00,39.01603,11.646,4.99,1.73,1.6,0.88,1.23,3.68,1.03
